Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Flat;57,241337;73;12;2;deep;ad;near;-0,029359;5,459169;out;ad;far;1,141602;24,458591;1,285156;cross court;In;false;07:58:37;2612,75
Rikard Rykkvin;4;return_plus_one;Forehand;Topspin;104,542023;73;12;2;short;ad;far;2,289107;17,229498;out;ad;near;-0,700195;-1,206592;1,191406;inside out;In;false;07:58:39;2615,060059
Rasmus Kopperud Riis;5;in_play;Backhand;Flat;62,039528;73;12;2;deep;deuce;near;2,604631;3,661704;out;ad;far;3,033203;25,302341;1,001953;down the line;In;false;07:58:40;2616,320068
Rikard Rykkvin;6;in_play;Forehand;Flat;84,053894;73;12;2;deep;ad;far;3,335563;21,982607;out;deuce;near;2,75;-0,776905;1,273438;down the line;In;false;07:58:42;2618,389893
Rasmus Kopperud Riis;7;in_play;Backhand;Flat;67,314682;73;12;2;short;ad;near;-0,553205;6,265648;out;ad;far;2,800781;25,552341;1,755859;cross court;In;false;07:58:44;2619,75
Rikard Rykkvin;8;in_play;Backhand;Slice;52,507923;73;12;2;short;ad;far;1,623299;17,592621;deep;ad;near;-1,438477;0,980908;1,470703;cross court;In;false;07:58:45;2621,439941
Rasmus Kopperud Riis;9;in_play;Forehand;Topspin;79,641365;73;12;2;deep;ad;near;-2,927734;0,081609;deep;ad;far;1,757812;22,458591;1,289062;inside out;In;false;07:58:47;2623,439941
Rikard Rykkvin;10;in_play;Backhand;Topspin;42,183205;73;12;2;short;ad;near;-3,376953;5,88606;out;ad;near;-3,515625;-1,16753;1,183594;cross court;Net;false;07:58:48;2624,639893
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;40,74139;74;12;2;short;ad;near;-3,257919;10,842872;deep;ad;far;0,296387;23,333591;2,341797;out wide;In;false;07:59:11;2646,860107
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;96,849854;74;12;2;short;ad;near;-0,668789;8,469557;deep;ad;far;-0,210938;23,695984;2,191406;down the T;In;false;07:59:17;2653,52002
Rikard Rykkvin;2;second_return;Forehand;Topspin;79,655792;74;12;2;deep;ad;far;0,657715;19,0625;out;ad;near;-0,703125;-1,026905;1,070312;inside out;In;false;07:59:18;2654,689941
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;81,02623;74;12;2;deep;deuce;near;0,906738;0,4375;deep;ad;far;0,609375;23,661716;1,03418;inside in;In;false;07:59:20;2655,98999
Rikard Rykkvin;4;return_plus_one;Forehand;Topspin;80,91938;74;12;2;deep;ad;far;0,353826;18,460785;out;deuce;near;1,318359;-0,32378;1,273438;down the line;In;false;07:59:21;2657,439941
Rasmus Kopperud Riis;5;in_play;Forehand;Flat;73,452057;74;12;2;short;ad;near;-2,406387;5,706488;out;ad;far;0,17334;24,911716;0,901367;inside out;In;false;07:59:23;2658,790039
Rikard Rykkvin;6;in_play;Backhand;Flat;43,615513;74;12;2;short;ad;near;-0,845703;6,30527;deep;ad;near;-2,90625;-0,003467;0,946289;cross court;Net;false;07:59:24;2660,52002
Rikard Rykkvin;0;none;Feed;Flat;38,73468;75;12;2;deep;deuce;far;-0,899902;18,40625;short;ad;near;-1,366211;8,41068;0,645508;---;In;false;07:59:33;2669,439941
